x	y	label	clickSelects	showSelected1	PANEL
1	1	1	-2.1	finite	1
1	0.5	2	-0.62	finite	1
1	0	3	-0.5	finite	1
0.833333333333333	0.5	5	-0.14	finite	1
0.833333333333333	1	6	-0.1	finite	1
0.333333333333333	1	9	-0.0600000000000001	finite	1
0	1	11	-0.02	finite	1
0.666666666666667	0.5	18	0.14	finite	1
0.5	0.5	21	0.26	finite	1
0.5	0	22	0.3	finite	1
0.333333333333333	0	23	0.34	finite	1
0.166666666666667	0	24	0.38	finite	1
0	0	25	1.86	finite	1
1	1	1	-2.1	infinite	2
0.833333333333333	1	2	-1.98	infinite	2
0.666666666666667	1	5	-0.5	infinite	2
0.5	1	8	-0.34	infinite	2
0.166666666666667	1	14	-0.1	infinite	2
0	1	15	-0.1	infinite	2
0	0	16	0.1	infinite	2
0	0.5	17	0.38	infinite	2
