fill	xmin	xmax	showSelectedlegendfill	PANEL	group
#F6F4BF	0	50.4	normal	1	2
#F6F4BF	0	50.4	normal	2	2
#F6F4BF	0	93.3	normal	3	2
#F6F4BF	0	93.3	normal	4	2
#F6F4BF	0	93.3	normal	5	2
#F6F4BF	0	93.3	normal	6	2
#F6F4BF	0	91	normal	7	2
#F6F4BF	0	91	normal	8	2
#F6F4BF	0	50.4	normal	9	2
#F6F4BF	0	50.4	normal	10	2
#F6F4BF	0	93.3	normal	11	2
#F6F4BF	0	93.3	normal	12	2
#A445EE	0	93.3	breakpoint	13	1
#A445EE	0	93.3	breakpoint	14	1
#A445EE	53.7	135.006516	breakpoint	15	1
#A445EE	53.7	135.006516	breakpoint	16	1
