linetype	xmin	xmax	key	showSelectedlegendlinetype	showSelected1	showSelected2	PANEL	group
0	0	50.4	0 50400000	correct	0.18	finite	1	1
0	0	50.4	0 50400000	correct	0.22	finite	1	1
0	0	50.4	0 50400000	correct	0.26	finite	1	1
0	0	50.4	0 50400000	correct	0.3	finite	1	1
0	0	50.4	0 50400000	correct	0.34	finite	1	1
0	0	50.4	0 50400000	correct	0.38	finite	1	1
0	0	50.4	0 50400000	correct	0.42	finite	1	1
0	0	50.4	0 50400000	correct	0.46	finite	1	1
0	0	50.4	0 50400000	correct	0.5	finite	1	1
0	0	50.4	0 50400000	correct	0.54	finite	1	1
0	0	50.4	0 50400000	correct	0.58	finite	1	1
0	0	50.4	0 50400000	correct	0.62	finite	1	1
0	0	50.4	0 50400000	correct	0.66	finite	1	1
0	0	50.4	0 50400000	correct	0.7	finite	1	1
0	0	50.4	0 50400000	correct	0.74	finite	1	1
0	0	50.4	0 50400000	correct	0.78	finite	1	1
0	0	50.4	0 50400000	correct	0.82	finite	1	1
0	0	50.4	0 50400000	correct	0.86	finite	1	1
0	0	50.4	0 50400000	correct	0.9	finite	1	1
0	0	50.4	0 50400000	correct	0.94	finite	1	1
0	0	50.4	0 50400000	correct	0.98	finite	1	1
0	0	50.4	0 50400000	correct	1.02	finite	1	1
0	0	50.4	0 50400000	correct	1.06	finite	1	1
0	0	50.4	0 50400000	correct	1.1	finite	1	1
0	0	50.4	0 50400000	correct	1.14	finite	1	1
0	0	50.4	0 50400000	correct	1.18	finite	1	1
0	0	50.4	0 50400000	correct	1.22	finite	1	1
0	0	50.4	0 50400000	correct	1.26	finite	1	1
0	0	50.4	0 50400000	correct	1.3	finite	1	1
0	0	50.4	0 50400000	correct	1.34	finite	1	1
0	0	50.4	0 50400000	correct	1.38	finite	1	1
0	0	50.4	0 50400000	correct	1.42	finite	1	1
0	0	50.4	0 50400000	correct	1.46	finite	1	1
0	0	50.4	0 50400000	correct	1.5	finite	1	1
0	0	50.4	0 50400000	correct	1.54	finite	1	1
0	0	50.4	0 50400000	correct	1.58	finite	1	1
0	0	50.4	0 50400000	correct	1.62	finite	1	1
0	0	50.4	0 50400000	correct	1.66	finite	1	1
0	0	50.4	0 50400000	correct	1.7	finite	1	1
0	0	50.4	0 50400000	correct	1.74	finite	1	1
0	0	50.4	0 50400000	correct	1.78	finite	1	1
0	0	50.4	0 50400000	correct	1.82	finite	1	1
0	0	50.4	0 50400000	correct	1.86	finite	1	1
0	0	50.4	0 50400000	correct	1.9	finite	1	1
0	0	50.4	0 50400000	correct	1.94	finite	1	1
0	0	50.4	0 50400000	correct	1.98	finite	1	1
1	0	50.4	0 50400000	false positive	0.1	finite	1	3
1	0	50.4	0 50400000	false positive	0.14	finite	1	3
0	0	50.4	0 50400000	correct	-0.0600000000000001	finite	1	1
0	0	50.4	0 50400000	correct	-0.02	finite	1	1
0	0	50.4	0 50400000	correct	0.02	finite	1	1
0	0	50.4	0 50400000	correct	0.0600000000000001	finite	1	1
1	0	50.4	0 50400000	false positive	-0.46	finite	1	3
1	0	50.4	0 50400000	false positive	-0.42	finite	1	3
1	0	50.4	0 50400000	false positive	-0.38	finite	1	3
1	0	50.4	0 50400000	false positive	-0.34	finite	1	3
1	0	50.4	0 50400000	false positive	-0.3	finite	1	3
1	0	50.4	0 50400000	false positive	-0.26	finite	1	3
1	0	50.4	0 50400000	false positive	-0.22	finite	1	3
1	0	50.4	0 50400000	false positive	-0.18	finite	1	3
1	0	50.4	0 50400000	false positive	-0.14	finite	1	3
1	0	50.4	0 50400000	false positive	-0.1	finite	1	3
1	0	50.4	0 50400000	false positive	-0.82	finite	1	3
1	0	50.4	0 50400000	false positive	-0.78	finite	1	3
1	0	50.4	0 50400000	false positive	-0.74	finite	1	3
1	0	50.4	0 50400000	false positive	-0.7	finite	1	3
1	0	50.4	0 50400000	false positive	-0.66	finite	1	3
1	0	50.4	0 50400000	false positive	-0.62	finite	1	3
1	0	50.4	0 50400000	false positive	-0.58	finite	1	3
1	0	50.4	0 50400000	false positive	-0.54	finite	1	3
1	0	50.4	0 50400000	false positive	-0.5	finite	1	3
1	0	50.4	0 50400000	false positive	-1.18	finite	1	3
1	0	50.4	0 50400000	false positive	-1.14	finite	1	3
1	0	50.4	0 50400000	false positive	-1.1	finite	1	3
1	0	50.4	0 50400000	false positive	-1.06	finite	1	3
1	0	50.4	0 50400000	false positive	-1.02	finite	1	3
1	0	50.4	0 50400000	false positive	-0.98	finite	1	3
1	0	50.4	0 50400000	false positive	-0.94	finite	1	3
1	0	50.4	0 50400000	false positive	-0.9	finite	1	3
1	0	50.4	0 50400000	false positive	-0.86	finite	1	3
1	0	50.4	0 50400000	false positive	-1.3	finite	1	3
1	0	50.4	0 50400000	false positive	-1.26	finite	1	3
1	0	50.4	0 50400000	false positive	-1.22	finite	1	3
1	0	50.4	0 50400000	false positive	-1.5	finite	1	3
1	0	50.4	0 50400000	false positive	-1.46	finite	1	3
1	0	50.4	0 50400000	false positive	-1.42	finite	1	3
1	0	50.4	0 50400000	false positive	-1.38	finite	1	3
1	0	50.4	0 50400000	false positive	-1.34	finite	1	3
1	0	50.4	0 50400000	false positive	-1.54	finite	1	3
1	0	50.4	0 50400000	false positive	-1.62	finite	1	3
1	0	50.4	0 50400000	false positive	-1.58	finite	1	3
1	0	50.4	0 50400000	false positive	-2.1	finite	1	3
1	0	50.4	0 50400000	false positive	-2.06	finite	1	3
