xintercept	key	showSelected1	showSelected2	PANEL
1.9970325	1997032.5	0.1	finite	1
1.9970325	1997032.5	0.14	finite	1
69.560643	69560643	-0.0600000000000001	finite	1
69.560643	69560643	-0.02	finite	1
69.560643	69560643	0.02	finite	1
69.560643	69560643	0.0600000000000001	finite	1
70.2266945	70226694.5	-0.0600000000000001	finite	1
70.2266945	70226694.5	-0.02	finite	1
70.2266945	70226694.5	0.02	finite	1
70.2266945	70226694.5	0.0600000000000001	finite	1
1.9970325	1997032.5	-0.46	finite	1
1.9970325	1997032.5	-0.42	finite	1
1.9970325	1997032.5	-0.38	finite	1
1.9970325	1997032.5	-0.34	finite	1
1.9970325	1997032.5	-0.3	finite	1
1.9970325	1997032.5	-0.26	finite	1
1.9970325	1997032.5	-0.22	finite	1
1.9970325	1997032.5	-0.18	finite	1
1.9970325	1997032.5	-0.14	finite	1
1.9970325	1997032.5	-0.1	finite	1
69.560643	69560643	-0.46	finite	1
69.560643	69560643	-0.42	finite	1
69.560643	69560643	-0.38	finite	1
69.560643	69560643	-0.34	finite	1
69.560643	69560643	-0.3	finite	1
69.560643	69560643	-0.26	finite	1
69.560643	69560643	-0.22	finite	1
69.560643	69560643	-0.18	finite	1
69.560643	69560643	-0.14	finite	1
69.560643	69560643	-0.1	finite	1
70.2266945	70226694.5	-0.46	finite	1
70.2266945	70226694.5	-0.42	finite	1
70.2266945	70226694.5	-0.38	finite	1
70.2266945	70226694.5	-0.34	finite	1
70.2266945	70226694.5	-0.3	finite	1
70.2266945	70226694.5	-0.26	finite	1
70.2266945	70226694.5	-0.22	finite	1
70.2266945	70226694.5	-0.18	finite	1
70.2266945	70226694.5	-0.14	finite	1
70.2266945	70226694.5	-0.1	finite	1
1.9970325	1997032.5	-0.82	finite	1
1.9970325	1997032.5	-0.78	finite	1
1.9970325	1997032.5	-0.74	finite	1
1.9970325	1997032.5	-0.7	finite	1
1.9970325	1997032.5	-0.66	finite	1
1.9970325	1997032.5	-0.62	finite	1
1.9970325	1997032.5	-0.58	finite	1
1.9970325	1997032.5	-0.54	finite	1
1.9970325	1997032.5	-0.5	finite	1
40.8915525	40891552.5	-0.82	finite	1
40.8915525	40891552.5	-0.78	finite	1
40.8915525	40891552.5	-0.74	finite	1
40.8915525	40891552.5	-0.7	finite	1
40.8915525	40891552.5	-0.66	finite	1
40.8915525	40891552.5	-0.62	finite	1
40.8915525	40891552.5	-0.58	finite	1
40.8915525	40891552.5	-0.54	finite	1
40.8915525	40891552.5	-0.5	finite	1
42.4704305	42470430.5	-0.82	finite	1
42.4704305	42470430.5	-0.78	finite	1
42.4704305	42470430.5	-0.74	finite	1
42.4704305	42470430.5	-0.7	finite	1
42.4704305	42470430.5	-0.66	finite	1
42.4704305	42470430.5	-0.62	finite	1
42.4704305	42470430.5	-0.58	finite	1
42.4704305	42470430.5	-0.54	finite	1
42.4704305	42470430.5	-0.5	finite	1
69.560643	69560643	-0.82	finite	1
69.560643	69560643	-0.78	finite	1
69.560643	69560643	-0.74	finite	1
69.560643	69560643	-0.7	finite	1
69.560643	69560643	-0.66	finite	1
69.560643	69560643	-0.62	finite	1
69.560643	69560643	-0.58	finite	1
69.560643	69560643	-0.54	finite	1
69.560643	69560643	-0.5	finite	1
70.2266945	70226694.5	-0.82	finite	1
70.2266945	70226694.5	-0.78	finite	1
70.2266945	70226694.5	-0.74	finite	1
70.2266945	70226694.5	-0.7	finite	1
70.2266945	70226694.5	-0.66	finite	1
70.2266945	70226694.5	-0.62	finite	1
70.2266945	70226694.5	-0.58	finite	1
70.2266945	70226694.5	-0.54	finite	1
70.2266945	70226694.5	-0.5	finite	1
1.9970325	1997032.5	-1.18	finite	1
1.9970325	1997032.5	-1.14	finite	1
1.9970325	1997032.5	-1.1	finite	1
1.9970325	1997032.5	-1.06	finite	1
1.9970325	1997032.5	-1.02	finite	1
1.9970325	1997032.5	-0.98	finite	1
1.9970325	1997032.5	-0.94	finite	1
1.9970325	1997032.5	-0.9	finite	1
1.9970325	1997032.5	-0.86	finite	1
40.8915525	40891552.5	-1.18	finite	1
40.8915525	40891552.5	-1.14	finite	1
40.8915525	40891552.5	-1.1	finite	1
40.8915525	40891552.5	-1.06	finite	1
40.8915525	40891552.5	-1.02	finite	1
40.8915525	40891552.5	-0.98	finite	1
40.8915525	40891552.5	-0.94	finite	1
40.8915525	40891552.5	-0.9	finite	1
