fill	y	x	key	showSelectedlegendfill	showSelected1	showSelected2	PANEL
#000000	1	-3.26580581177453	finite	error	finite	-2.1	1
#000000	1	-3.22580581177453	finite	error	finite	-2.06	1
#000000	1	-3.18580581177453	finite	error	finite	-2.02	1
#000000	1	-3.14580581177453	finite	error	finite	-1.98	1
#000000	1	-3.10580581177453	finite	error	finite	-1.94	1
#000000	1	-3.06580581177453	finite	error	finite	-1.9	1
#000000	1	-3.02580581177453	finite	error	finite	-1.86	1
#000000	1	-2.99352325015284	infinite	error	infinite	-2.1	1
#000000	1	-2.98580581177453	finite	error	finite	-1.82	1
#000000	1	-2.95352325015284	infinite	error	infinite	-2.06	1
#000000	1	-2.94580581177453	finite	error	finite	-1.78	1
#000000	1	-2.91352325015284	infinite	error	infinite	-2.02	1
#000000	1	-2.90580581177453	finite	error	finite	-1.74	1
#000000	1	-2.87352325015284	infinite	error	infinite	-1.98	1
#000000	1	-2.86580581177453	finite	error	finite	-1.7	1
#000000	1	-2.83352325015284	infinite	error	infinite	-1.94	1
#000000	1	-2.82580581177453	finite	error	finite	-1.66	1
#000000	1	-2.79352325015284	infinite	error	infinite	-1.9	1
#000000	1	-2.78580581177453	finite	error	finite	-1.62	1
#000000	1	-2.75352325015284	infinite	error	infinite	-1.86	1
#000000	1	-2.74580581177453	finite	error	finite	-1.58	1
#000000	1	-2.71352325015284	infinite	error	infinite	-1.82	1
#000000	1	-2.70580581177453	finite	error	finite	-1.54	1
#000000	1	-2.67352325015284	infinite	error	infinite	-1.78	1
#000000	1	-2.66580581177453	finite	error	finite	-1.5	1
#000000	1	-2.63352325015284	infinite	error	infinite	-1.74	1
#000000	1	-2.62580581177453	finite	error	finite	-1.46	1
#000000	1	-2.59352325015284	infinite	error	infinite	-1.7	1
#000000	1	-2.58580581177453	finite	error	finite	-1.42	1
#000000	1	-2.55352325015284	infinite	error	infinite	-1.66	1
#000000	1	-2.54580581177453	finite	error	finite	-1.38	1
#000000	1	-2.51352325015284	infinite	error	infinite	-1.62	1
#000000	1	-2.50580581177453	finite	error	finite	-1.34	1
#000000	1	-2.47352325015284	infinite	error	infinite	-1.58	1
#000000	1	-2.46580581177453	finite	error	finite	-1.3	1
#000000	1	-2.43352325015284	infinite	error	infinite	-1.54	1
#000000	1	-2.42580581177453	finite	error	finite	-1.26	1
#000000	1	-2.39352325015284	infinite	error	infinite	-1.5	1
#000000	1	-2.38580581177453	finite	error	finite	-1.22	1
#000000	1	-2.35352325015284	infinite	error	infinite	-1.46	1
#000000	1	-2.34580581177453	finite	error	finite	-1.18	1
#000000	1	-2.31352325015284	infinite	error	infinite	-1.42	1
#000000	1	-2.30580581177453	finite	error	finite	-1.14	1
#000000	1	-2.27352325015284	infinite	error	infinite	-1.38	1
#000000	1	-2.26580581177453	finite	error	finite	-1.1	1
