xmin	xmax	key	showSelected1	showSelected2	PANEL	group
-3.76580581177453	-3.26580581177453	finite	finite	-2.1	1	1
-3.72580581177453	-3.22580581177453	finite	finite	-2.06	1	1
-3.68580581177453	-3.18580581177453	finite	finite	-2.02	1	1
-3.64580581177453	-3.14580581177453	finite	finite	-1.98	1	1
-3.60580581177453	-3.10580581177453	finite	finite	-1.94	1	1
-3.56580581177453	-3.06580581177453	finite	finite	-1.9	1	1
-3.52580581177453	-3.02580581177453	finite	finite	-1.86	1	1
-3.49352325015284	-2.99352325015284	infinite	infinite	-2.1	1	2
-3.48580581177453	-2.98580581177453	finite	finite	-1.82	1	1
-3.45352325015284	-2.95352325015284	infinite	infinite	-2.06	1	2
-3.44580581177453	-2.94580581177453	finite	finite	-1.78	1	1
-3.41352325015284	-2.91352325015284	infinite	infinite	-2.02	1	2
-3.40580581177453	-2.90580581177453	finite	finite	-1.74	1	1
-3.37352325015284	-2.87352325015284	infinite	infinite	-1.98	1	2
-3.36580581177453	-2.86580581177453	finite	finite	-1.7	1	1
-3.33352325015284	-2.83352325015284	infinite	infinite	-1.94	1	2
-3.32580581177453	-2.82580581177453	finite	finite	-1.66	1	1
-3.29352325015284	-2.79352325015284	infinite	infinite	-1.9	1	2
-3.28580581177453	-2.78580581177453	finite	finite	-1.62	1	1
-3.25352325015284	-2.75352325015284	infinite	infinite	-1.86	1	2
-3.24580581177453	-2.74580581177453	finite	finite	-1.58	1	1
-3.21352325015284	-2.71352325015284	infinite	infinite	-1.82	1	2
-3.20580581177453	-2.70580581177453	finite	finite	-1.54	1	1
-3.17352325015284	-2.67352325015284	infinite	infinite	-1.78	1	2
-3.16580581177453	-2.66580581177453	finite	finite	-1.5	1	1
-3.13352325015284	-2.63352325015284	infinite	infinite	-1.74	1	2
-3.12580581177453	-2.62580581177453	finite	finite	-1.46	1	1
-3.09352325015284	-2.59352325015284	infinite	infinite	-1.7	1	2
-3.08580581177453	-2.58580581177453	finite	finite	-1.42	1	1
-3.05352325015284	-2.55352325015284	infinite	infinite	-1.66	1	2
-3.04580581177453	-2.54580581177453	finite	finite	-1.38	1	1
-3.01352325015284	-2.51352325015284	infinite	infinite	-1.62	1	2
-3.00580581177453	-2.50580581177453	finite	finite	-1.34	1	1
-2.97352325015284	-2.47352325015284	infinite	infinite	-1.58	1	2
-2.96580581177453	-2.46580581177453	finite	finite	-1.3	1	1
-2.93352325015284	-2.43352325015284	infinite	infinite	-1.54	1	2
-2.92580581177453	-2.42580581177453	finite	finite	-1.26	1	1
-2.89352325015284	-2.39352325015284	infinite	infinite	-1.5	1	2
-2.88580581177453	-2.38580581177453	finite	finite	-1.22	1	1
-2.85352325015284	-2.35352325015284	infinite	infinite	-1.46	1	2
-2.84580581177453	-2.34580581177453	finite	finite	-1.18	1	1
-2.81352325015284	-2.31352325015284	infinite	infinite	-1.42	1	2
-2.80580581177453	-2.30580581177453	finite	finite	-1.14	1	1
-2.77352325015284	-2.27352325015284	infinite	infinite	-1.38	1	2
-2.76580581177453	-2.26580581177453	finite	finite	-1.1	1	1
-2.73352325015284	-2.23352325015284	infinite	infinite	-1.34	1	2
-2.72580581177453	-2.22580581177453	finite	finite	-1.06	1	1
-2.69352325015284	-2.19352325015284	infinite	infinite	-1.3	1	2
-2.68580581177453	-2.18580581177453	finite	finite	-1.02	1	1
-2.65352325015284	-2.15352325015284	infinite	infinite	-1.26	1	2
-2.64580581177453	-2.14580581177453	finite	finite	-0.98	1	1
-2.61352325015284	-2.11352325015284	infinite	infinite	-1.22	1	2
-2.60580581177453	-2.10580581177453	finite	finite	-0.94	1	1
-2.57352325015284	-2.07352325015284	infinite	infinite	-1.18	1	2
-2.56580581177453	-2.06580581177453	finite	finite	-0.9	1	1
-2.53352325015284	-2.03352325015284	infinite	infinite	-1.14	1	2
-2.52580581177453	-2.02580581177453	finite	finite	-0.86	1	1
-2.49352325015284	-1.99352325015284	infinite	infinite	-1.1	1	2
-2.48580581177453	-1.98580581177453	finite	finite	-0.82	1	1
-2.45352325015284	-1.95352325015284	infinite	infinite	-1.06	1	2
-2.44580581177453	-1.94580581177453	finite	finite	-0.78	1	1
-2.41352325015284	-1.91352325015284	infinite	infinite	-1.02	1	2
-2.40580581177453	-1.90580581177453	finite	finite	-0.74	1	1
-2.37352325015284	-1.87352325015284	infinite	infinite	-0.98	1	2
-2.36580581177453	-1.86580581177453	finite	finite	-0.7	1	1
-2.33352325015284	-1.83352325015284	infinite	infinite	-0.94	1	2
-2.32580581177453	-1.82580581177453	finite	finite	-0.66	1	1
-2.29352325015284	-1.79352325015284	infinite	infinite	-0.9	1	2
-2.28580581177453	-1.78580581177453	finite	finite	-0.62	1	1
-2.25352325015284	-1.75352325015284	infinite	infinite	-0.86	1	2
-2.24580581177453	-1.74580581177453	finite	finite	-0.58	1	1
-2.21352325015284	-1.71352325015284	infinite	infinite	-0.82	1	2
-2.20580581177453	-1.70580581177453	finite	finite	-0.54	1	1
-2.17352325015284	-1.67352325015284	infinite	infinite	-0.78	1	2
-2.16580581177453	-1.66580581177453	finite	finite	-0.5	1	1
-2.13352325015284	-1.63352325015284	infinite	infinite	-0.74	1	2
-2.12580581177453	-1.62580581177453	finite	finite	-0.46	1	1
-2.09352325015284	-1.59352325015284	infinite	infinite	-0.7	1	2
-2.08580581177453	-1.58580581177453	finite	finite	-0.42	1	1
-2.05352325015284	-1.55352325015284	infinite	infinite	-0.66	1	2
-2.04580581177453	-1.54580581177453	finite	finite	-0.38	1	1
-2.01352325015284	-1.51352325015284	infinite	infinite	-0.62	1	2
-2.00580581177453	-1.50580581177453	finite	finite	-0.34	1	1
-1.97352325015284	-1.47352325015284	infinite	infinite	-0.58	1	2
-1.96580581177453	-1.46580581177453	finite	finite	-0.3	1	1
-1.93352325015284	-1.43352325015284	infinite	infinite	-0.54	1	2
-1.92580581177453	-1.42580581177453	finite	finite	-0.26	1	1
-1.89352325015284	-1.39352325015284	infinite	infinite	-0.5	1	2
-1.88580581177453	-1.38580581177453	finite	finite	-0.22	1	1
-1.85352325015284	-1.35352325015284	infinite	infinite	-0.46	1	2
-1.84580581177453	-1.34580581177453	finite	finite	-0.18	1	1
-1.81352325015284	-1.31352325015284	infinite	infinite	-0.42	1	2
-1.80580581177453	-1.30580581177453	finite	finite	-0.14	1	1
-1.77352325015284	-1.27352325015284	infinite	infinite	-0.38	1	2
-1.76580581177453	-1.26580581177453	finite	finite	-0.1	1	1
-1.73352325015284	-1.23352325015284	infinite	infinite	-0.34	1	2
-1.72580581177453	-1.22580581177453	finite	finite	-0.0600000000000001	1	1
-1.69352325015284	-1.19352325015284	infinite	infinite	-0.3	1	2
-1.68580581177453	-1.18580581177453	finite	finite	-0.02	1	1
-1.65352325015284	-1.15352325015284	infinite	infinite	-0.26	1	2
-1.64580581177453	-1.14580581177453	finite	finite	0.02	1	1
