linetype	xintercept	key	showSelectedlegendlinetype	showSelected1	PANEL
solid	-3.26580581177453	finite	finite	-2.1	1
solid	-3.22580581177453	finite	finite	-2.06	1
solid	-3.18580581177453	finite	finite	-2.02	1
solid	-3.14580581177453	finite	finite	-1.98	1
solid	-3.10580581177453	finite	finite	-1.94	1
solid	-3.06580581177453	finite	finite	-1.9	1
solid	-3.02580581177453	finite	finite	-1.86	1
22	-2.99352325015284	infinite	infinite	-2.1	1
solid	-2.98580581177453	finite	finite	-1.82	1
22	-2.95352325015284	infinite	infinite	-2.06	1
solid	-2.94580581177453	finite	finite	-1.78	1
22	-2.91352325015284	infinite	infinite	-2.02	1
solid	-2.90580581177453	finite	finite	-1.74	1
22	-2.87352325015284	infinite	infinite	-1.98	1
solid	-2.86580581177453	finite	finite	-1.7	1
22	-2.83352325015284	infinite	infinite	-1.94	1
solid	-2.82580581177453	finite	finite	-1.66	1
22	-2.79352325015284	infinite	infinite	-1.9	1
solid	-2.78580581177453	finite	finite	-1.62	1
22	-2.75352325015284	infinite	infinite	-1.86	1
solid	-2.74580581177453	finite	finite	-1.58	1
22	-2.71352325015284	infinite	infinite	-1.82	1
solid	-2.70580581177453	finite	finite	-1.54	1
22	-2.67352325015284	infinite	infinite	-1.78	1
solid	-2.66580581177453	finite	finite	-1.5	1
22	-2.63352325015284	infinite	infinite	-1.74	1
solid	-2.62580581177453	finite	finite	-1.46	1
22	-2.59352325015284	infinite	infinite	-1.7	1
solid	-2.58580581177453	finite	finite	-1.42	1
22	-2.55352325015284	infinite	infinite	-1.66	1
solid	-2.54580581177453	finite	finite	-1.38	1
22	-2.51352325015284	infinite	infinite	-1.62	1
solid	-2.50580581177453	finite	finite	-1.34	1
22	-2.47352325015284	infinite	infinite	-1.58	1
solid	-2.46580581177453	finite	finite	-1.3	1
22	-2.43352325015284	infinite	infinite	-1.54	1
solid	-2.42580581177453	finite	finite	-1.26	1
22	-2.39352325015284	infinite	infinite	-1.5	1
solid	-2.38580581177453	finite	finite	-1.22	1
22	-2.35352325015284	infinite	infinite	-1.46	1
solid	-2.34580581177453	finite	finite	-1.18	1
22	-2.31352325015284	infinite	infinite	-1.42	1
solid	-2.30580581177453	finite	finite	-1.14	1
22	-2.27352325015284	infinite	infinite	-1.38	1
solid	-2.26580581177453	finite	finite	-1.1	1
22	-2.23352325015284	infinite	infinite	-1.34	1
solid	-2.22580581177453	finite	finite	-1.06	1
22	-2.19352325015284	infinite	infinite	-1.3	1
solid	-2.18580581177453	finite	finite	-1.02	1
22	-2.15352325015284	infinite	infinite	-1.26	1
solid	-2.14580581177453	finite	finite	-0.98	1
22	-2.11352325015284	infinite	infinite	-1.22	1
solid	-2.10580581177453	finite	finite	-0.94	1
22	-2.07352325015284	infinite	infinite	-1.18	1
solid	-2.06580581177453	finite	finite	-0.9	1
22	-2.03352325015284	infinite	infinite	-1.14	1
solid	-2.02580581177453	finite	finite	-0.86	1
22	-1.99352325015284	infinite	infinite	-1.1	1
solid	-1.98580581177453	finite	finite	-0.82	1
22	-1.95352325015284	infinite	infinite	-1.06	1
solid	-1.94580581177453	finite	finite	-0.78	1
22	-1.91352325015284	infinite	infinite	-1.02	1
solid	-1.90580581177453	finite	finite	-0.74	1
22	-1.87352325015284	infinite	infinite	-0.98	1
solid	-1.86580581177453	finite	finite	-0.7	1
22	-1.83352325015284	infinite	infinite	-0.94	1
solid	-1.82580581177453	finite	finite	-0.66	1
22	-1.79352325015284	infinite	infinite	-0.9	1
solid	-1.78580581177453	finite	finite	-0.62	1
22	-1.75352325015284	infinite	infinite	-0.86	1
solid	-1.74580581177453	finite	finite	-0.58	1
22	-1.71352325015284	infinite	infinite	-0.82	1
solid	-1.70580581177453	finite	finite	-0.54	1
22	-1.67352325015284	infinite	infinite	-0.78	1
solid	-1.66580581177453	finite	finite	-0.5	1
22	-1.63352325015284	infinite	infinite	-0.74	1
solid	-1.62580581177453	finite	finite	-0.46	1
22	-1.59352325015284	infinite	infinite	-0.7	1
solid	-1.58580581177453	finite	finite	-0.42	1
22	-1.55352325015284	infinite	infinite	-0.66	1
solid	-1.54580581177453	finite	finite	-0.38	1
22	-1.51352325015284	infinite	infinite	-0.62	1
solid	-1.50580581177453	finite	finite	-0.34	1
22	-1.47352325015284	infinite	infinite	-0.58	1
solid	-1.46580581177453	finite	finite	-0.3	1
22	-1.43352325015284	infinite	infinite	-0.54	1
solid	-1.42580581177453	finite	finite	-0.26	1
22	-1.39352325015284	infinite	infinite	-0.5	1
solid	-1.38580581177453	finite	finite	-0.22	1
22	-1.35352325015284	infinite	infinite	-0.46	1
solid	-1.34580581177453	finite	finite	-0.18	1
22	-1.31352325015284	infinite	infinite	-0.42	1
solid	-1.30580581177453	finite	finite	-0.14	1
22	-1.27352325015284	infinite	infinite	-0.38	1
solid	-1.26580581177453	finite	finite	-0.1	1
22	-1.23352325015284	infinite	infinite	-0.34	1
solid	-1.22580581177453	finite	finite	-0.0600000000000001	1
22	-1.19352325015284	infinite	infinite	-0.3	1
solid	-1.18580581177453	finite	finite	-0.02	1
22	-1.15352325015284	infinite	infinite	-0.26	1
solid	-1.14580581177453	finite	finite	0.02	1
22	-1.11352325015284	infinite	infinite	-0.22	1
solid	-1.10580581177453	finite	finite	0.0600000000000001	1
22	-1.07352325015284	infinite	infinite	-0.18	1
solid	-1.06580581177453	finite	finite	0.1	1
22	-1.03352325015284	infinite	infinite	-0.14	1
solid	-1.02580581177453	finite	finite	0.14	1
22	-0.99352325015284	infinite	infinite	-0.1	1
22	-0.99352325015284	infinite	infinite	-0.1	1
solid	-0.985805811774526	finite	finite	0.18	1
22	-0.95352325015284	infinite	infinite	-0.0600000000000001	1
solid	-0.945805811774527	finite	finite	0.22	1
22	-0.91352325015284	infinite	infinite	-0.02	1
solid	-0.905805811774527	finite	finite	0.26	1
22	-0.87352325015284	infinite	infinite	0.02	1
solid	-0.865805811774527	finite	finite	0.3	1
22	-0.83352325015284	infinite	infinite	0.0600000000000001	1
solid	-0.825805811774526	finite	finite	0.34	1
22	-0.79352325015284	infinite	infinite	0.1	1
solid	-0.785805811774526	finite	finite	0.38	1
22	-0.75352325015284	infinite	infinite	0.14	1
solid	-0.745805811774526	finite	finite	0.42	1
22	-0.71352325015284	infinite	infinite	0.18	1
solid	-0.705805811774526	finite	finite	0.46	1
22	-0.67352325015284	infinite	infinite	0.22	1
solid	-0.665805811774526	finite	finite	0.5	1
22	-0.63352325015284	infinite	infinite	0.26	1
solid	-0.625805811774526	finite	finite	0.54	1
22	-0.59352325015284	infinite	infinite	0.3	1
solid	-0.585805811774526	finite	finite	0.58	1
22	-0.55352325015284	infinite	infinite	0.34	1
solid	-0.545805811774526	finite	finite	0.62	1
22	-0.51352325015284	infinite	infinite	0.38	1
solid	-0.505805811774526	finite	finite	0.66	1
22	-0.47352325015284	infinite	infinite	0.42	1
solid	-0.465805811774526	finite	finite	0.7	1
22	-0.43352325015284	infinite	infinite	0.46	1
solid	-0.425805811774526	finite	finite	0.74	1
22	-0.39352325015284	infinite	infinite	0.5	1
solid	-0.385805811774526	finite	finite	0.78	1
22	-0.35352325015284	infinite	infinite	0.54	1
solid	-0.345805811774526	finite	finite	0.82	1
22	-0.31352325015284	infinite	infinite	0.58	1
solid	-0.305805811774526	finite	finite	0.86	1
22	-0.27352325015284	infinite	infinite	0.62	1
solid	-0.265805811774526	finite	finite	0.9	1
22	-0.23352325015284	infinite	infinite	0.66	1
solid	-0.225805811774526	finite	finite	0.94	1
22	-0.19352325015284	infinite	infinite	0.7	1
solid	-0.185805811774526	finite	finite	0.98	1
22	-0.15352325015284	infinite	infinite	0.74	1
solid	-0.145805811774526	finite	finite	1.02	1
22	-0.11352325015284	infinite	infinite	0.78	1
solid	-0.105805811774526	finite	finite	1.06	1
22	-0.07352325015284	infinite	infinite	0.82	1
solid	-0.0658058117745262	finite	finite	1.1	1
22	-0.03352325015284	infinite	infinite	0.86	1
solid	-0.0258058117745261	finite	finite	1.14	1
22	0.00647674984716007	infinite	infinite	0.9	1
