colour	size	y	yend	x	xend	showSelectedlegendcoloursize	PANEL
#FF0000	3	0	0	-0.99352325015284	4.14402304721292	false positive	1
#FF0000	3	1	1	-1.07313299149212	-0.99352325015284	false positive	1
#FF0000	3	0	0	-1.25847863205693	-1.07313299149212	false positive	1
#FF0000	3	1	1	-6.97337814678868	-1.25847863205693	false positive	1
#00BFFF	2	0	0	-6.97337814678868	4.14402304721292	false negative	1
#000000	1	0	0	-0.99352325015284	4.14402304721292	errors	1
#000000	1	1	1	-1.07313299149212	-0.99352325015284	errors	1
#000000	1	0	0	-1.25847863205693	-1.07313299149212	errors	1
#000000	1	1	1	-6.97337814678868	-1.25847863205693	errors	1
#FF0000	3	0	0	-2.70840601097615	4.14402304721292	false positive	2
#FF0000	3	1	1	-2.8694827972429	-2.70840601097615	false positive	2
#FF0000	3	0	0	-3.00826913025596	-2.8694827972429	false positive	2
#FF0000	3	1	1	-6.97337814678868	-3.00826913025596	false positive	2
#00BFFF	2	0	0	-6.97337814678868	4.14402304721292	false negative	2
#000000	1	0	0	-2.70840601097615	4.14402304721292	errors	2
#000000	1	1	1	-2.8694827972429	-2.70840601097615	errors	2
#000000	1	0	0	-3.00826913025596	-2.8694827972429	errors	2
#000000	1	1	1	-6.97337814678868	-3.00826913025596	errors	2
#FF0000	3	0	0	-1.60466149250489	4.14402304721292	false positive	3
#FF0000	3	1	1	-3.38526213804717	-1.60466149250489	false positive	3
#FF0000	3	0	0	-3.50935710316671	-3.38526213804717	false positive	3
#FF0000	3	1	1	-6.97337814678868	-3.50935710316671	false positive	3
#00BFFF	2	0	0	-6.97337814678868	4.14402304721292	false negative	3
#000000	1	0	0	-1.60466149250489	4.14402304721292	errors	3
#000000	1	1	1	-3.38526213804717	-1.60466149250489	errors	3
#000000	1	0	0	-3.50935710316671	-3.38526213804717	errors	3
#000000	1	1	1	-6.97337814678868	-3.50935710316671	errors	3
#FF0000	3	0	0	-3.53173472707878	4.14402304721292	false positive	4
#FF0000	3	1	1	-3.70459467207248	-3.53173472707878	false positive	4
#FF0000	3	0	0	-4.03148878568656	-3.70459467207248	false positive	4
#FF0000	3	1	1	-6.97337814678868	-4.03148878568656	false positive	4
#00BFFF	2	0	0	-6.97337814678868	4.14402304721292	false negative	4
#000000	1	0	0	-3.53173472707878	4.14402304721292	errors	4
#000000	1	1	1	-3.70459467207248	-3.53173472707878	errors	4
#000000	1	0	0	-4.03148878568656	-3.70459467207248	errors	4
#000000	1	1	1	-6.97337814678868	-4.03148878568656	errors	4
#FF0000	3	0	0	-2.2936748271443	4.14402304721292	false positive	5
#FF0000	3	1	1	-2.62820544922736	-2.2936748271443	false positive	5
#FF0000	3	0	0	-2.7178318195759	-2.62820544922736	false positive	5
#FF0000	3	1	1	-6.97337814678868	-2.7178318195759	false positive	5
#00BFFF	2	0	0	-6.97337814678868	4.14402304721292	false negative	5
#000000	1	0	0	-2.2936748271443	4.14402304721292	errors	5
#000000	1	1	1	-2.62820544922736	-2.2936748271443	errors	5
#000000	1	0	0	-2.7178318195759	-2.62820544922736	errors	5
#000000	1	1	1	-6.97337814678868	-2.7178318195759	errors	5
#FF0000	3	0	0	-1.73504356763289	4.14402304721292	false positive	6
#FF0000	3	1	1	-1.82336594022129	-1.73504356763289	false positive	6
#FF0000	3	0	0	-1.91157767064402	-1.82336594022129	false positive	6
#FF0000	3	1	1	-6.97337814678868	-1.91157767064402	false positive	6
#00BFFF	2	0	0	-6.97337814678868	4.14402304721292	false negative	6
#000000	1	0	0	-1.73504356763289	4.14402304721292	errors	6
#000000	1	1	1	-1.82336594022129	-1.73504356763289	errors	6
#000000	1	0	0	-1.91157767064402	-1.82336594022129	errors	6
#000000	1	1	1	-6.97337814678868	-1.91157767064402	errors	6
#FF0000	3	0	0	-6.97337814678868	4.14402304721292	false positive	7
#00BFFF	2	1	1	1.92930047961761	4.14402304721292	false negative	7
#00BFFF	2	0	0	1.3880727789899	1.92930047961761	false negative	7
#00BFFF	2	1	1	1.13643272732406	1.3880727789899	false negative	7
#00BFFF	2	0	0	-6.97337814678868	1.13643272732406	false negative	7
#000000	1	1	1	1.92930047961761	4.14402304721292	errors	7
#000000	1	0	0	1.3880727789899	1.92930047961761	errors	7
#000000	1	1	1	1.13643272732406	1.3880727789899	errors	7
#000000	1	0	0	-6.97337814678868	1.13643272732406	errors	7
#FF0000	3	0	0	-6.97337814678868	4.14402304721292	false positive	8
#00BFFF	2	1	1	-0.432176262860514	4.14402304721292	false negative	8
#00BFFF	2	0	0	-0.697157154763927	-0.432176262860514	false negative	8
#00BFFF	2	1	1	-1.20578371477536	-0.697157154763927	false negative	8
#00BFFF	2	0	0	-6.97337814678868	-1.20578371477536	false negative	8
#000000	1	1	1	-0.432176262860514	4.14402304721292	errors	8
#000000	1	0	0	-0.697157154763927	-0.432176262860514	errors	8
#000000	1	1	1	-1.20578371477536	-0.697157154763927	errors	8
#000000	1	0	0	-6.97337814678868	-1.20578371477536	errors	8
