xmin	xmax	key	clickSelects.variable	clickSelects.value	showSelected.variable	showSelected.value	PANEL	group
-2.12	-2.08	1	thresh	-2.1	thresh	-2.1	1	7957
-2.08	-2.04	-2.06 -2.1	thresh	-2.06	thresh	-2.1	1	5254
-2.04	-2	-2.02 -2.1	thresh	-2.02	thresh	-2.1	1	5152
-2	-1.96	-1.98 -2.1	thresh	-1.98	thresh	-2.1	1	5050
-1.96	-1.92	-1.94 -2.1	thresh	-1.94	thresh	-2.1	1	4948
-1.92	-1.88	-1.9 -2.1	thresh	-1.9	thresh	-2.1	1	4846
-1.88	-1.84	-1.86 -2.1	thresh	-1.86	thresh	-2.1	1	4744
-1.84	-1.8	-1.82 -2.1	thresh	-1.82	thresh	-2.1	1	4642
-1.8	-1.76	-1.78 -2.1	thresh	-1.78	thresh	-2.1	1	4540
-1.76	-1.72	-1.74 -2.1	thresh	-1.74	thresh	-2.1	1	4438
-1.72	-1.68	-1.7 -2.1	thresh	-1.7	thresh	-2.1	1	4336
-1.68	-1.64	-1.66 -2.1	thresh	-1.66	thresh	-2.1	1	4234
-1.64	-1.6	-1.62 -2.1	thresh	-1.62	thresh	-2.1	1	4132
-1.6	-1.56	-1.58 -2.1	thresh	-1.58	thresh	-2.1	1	4030
-1.56	-1.52	-1.54 -2.1	thresh	-1.54	thresh	-2.1	1	3928
-1.52	-1.48	-1.5 -2.1	thresh	-1.5	thresh	-2.1	1	3826
-1.48	-1.44	-1.46 -2.1	thresh	-1.46	thresh	-2.1	1	3724
-1.44	-1.4	-1.42 -2.1	thresh	-1.42	thresh	-2.1	1	3622
-1.4	-1.36	-1.38 -2.1	thresh	-1.38	thresh	-2.1	1	3520
-1.36	-1.32	-1.34 -2.1	thresh	-1.34	thresh	-2.1	1	3418
-1.32	-1.28	-1.3 -2.1	thresh	-1.3	thresh	-2.1	1	3316
-1.28	-1.24	-1.26 -2.1	thresh	-1.26	thresh	-2.1	1	3214
